eye-level angle, straight-on view
eye-level camera angle, natural perspective
straight-on angle, subject viewed directly from the front
slight three-quarter front angle, face and body turned subtly toward camera
strong three-quarter front angle, body turned clearly off-axis toward camera
left three-quarter angle, subject turned slightly to the left of camera
right three-quarter angle, subject turned slightly to the right of camera
profile angle, clean side view
near-profile angle, mostly side view with a hint of the face visible
over-the-shoulder angle from behind the subject
rear three-quarter angle, subject seen mostly from behind with part of the face visible
back view angle, subject seen from behind
high-angle shot, camera looking slightly downward at the subject
strong high-angle shot, camera noticeably above the subject
very high-angle shot, steep downward perspective
low-angle shot, camera looking slightly upward at the subject
strong low-angle shot, camera clearly below the subject
heroic low-angle shot, upward-looking perspective that enhances dominance
worm's-eye view, extremely low angle from near the ground
bird's-eye view, top-down overhead perspective
top-down angle, camera directly above the subject
overhead shot, vertical downward view
high oblique angle, elevated camera with the subject seen at a diagonal
low oblique angle, low camera with the subject seen at a diagonal
Dutch angle, tilted horizon for uneasy cinematic tension
subtle Dutch angle, slightly canted frame
strong Dutch angle, heavily canted frame
canted eye-level shot, horizon tilted while staying near eye height
canted low-angle shot, low camera with a tilted horizon
canted high-angle shot, elevated camera with a tilted horizon
waist-level angle, camera positioned around the subject's waist height
chest-level angle, camera positioned around the subject's chest height
shoulder-level angle, camera positioned near the subject's shoulder height
hip-level angle, camera positioned around the subject's hips
knee-level angle, camera positioned around knee height
floor-level angle, camera placed very close to the ground
intimate close portrait angle, camera very near the subject's face
distant observational angle, camera positioned farther away with a detached feel
voyeuristic angle, hidden-feeling observational perspective
surveillance-style high angle, detached overhead viewpoint
security-camera angle, elevated utilitarian viewpoint
isometric-like elevated angle, high diagonal perspective with strong spatial clarity
frontal portrait angle, direct symmetrical viewpoint
frontal low-angle portrait, direct view from below eye level
frontal high-angle portrait, direct view from above eye level
side-lit profile angle, clean profile with emphasis on the side plane of the face
rear-following angle, as though the camera is just behind the subject
half-overhead angle, camera above but not fully top-down
half-under angle, camera below but not fully worm's-eye
leaning-in perspective, camera slightly above and close to the subject
rising perspective, camera below and moving visual emphasis upward
ceremonial elevated angle, high dignified perspective
intimate shoulder-height angle, natural conversational perspective
subjective-feeling angle, immersive viewpoint close to the subject's space
compressed telephoto-feeling angle, flatter distant perspective
expansive wide-lens-feeling angle, spatially exaggerated perspective
